city,population_growth,prompt,completion
Doral,21.78556,Doral,21.78556
Homestead,-0.26505816,Homestead,-0.26505816
Bradenton,-4.233948,Bradenton,-4.233948
Port Orange,-2.535454,Port Orange,-2.535454
Kissimmee,9.708604,Kissimmee,9.708604
Pensacola,1.7517669,Pensacola,1.7517669
Palm Bay,2.6486306,Palm Bay,2.6486306
Wellington,-5.454685,Wellington,-5.454685
Miami Gardens,-0.67986387,Miami Gardens,-0.67986387
Country Club,1.3264335,Country Club,1.3264335
Fountainebleau,-0.37301886,Fountainebleau,-0.37301886
Ocala,3.8819747,Ocala,3.8819747
Lehigh Acres,10.736129,Lehigh Acres,10.736129
North Port,16.353828,North Port,16.353828
Coconut Creek,-5.5501766,Coconut Creek,-5.5501766
Fort Lauderdale,,Fort Lauderdale,nan
Miami,-4.592262,Miami,-4.592262
Pine Hills,29.973831,Pine Hills,29.973831
Miami Beach,-2.674629,Miami Beach,-2.674629
Bonita Springs,-8.203619,Bonita Springs,-8.203619
Davie,-0.7739543,Davie,-0.7739543
Kendall,5.5627494,Kendall,5.5627494
Gainesville,-0.48127016,Gainesville,-0.48127016
Coral Springs,-1.169695,Coral Springs,-1.169695
Tamiami,-2.209588,Tamiami,-2.209588
Weston,-5.1335163,Weston,-5.1335163
Pinellas Park,-0.66559476,Pinellas Park,-0.66559476
West Palm Beach,-0.13797215,West Palm Beach,-0.13797215
Margate,-0.22919695,Margate,-0.22919695
St. Cloud,8.428066,St. Cloud,8.428066
Sunrise,-1.3397031,Sunrise,-1.3397031
Sarasota,-6.9237027,Sarasota,-6.9237027
Tamarac,7.66197,Tamarac,7.66197
St. Petersburg,-2.192037,St. Petersburg,-2.192037
Tampa,-2.2416599,Tampa,-2.2416599
Sanford,-0.20219766,Sanford,-0.20219766
Largo,-0.18427593,Largo,-0.18427593
Hollywood,-0.60627043,Hollywood,-0.60627043
Westchester,-0.4259225,Westchester,-0.4259225
Lakeland,2.4502623,Lakeland,2.4502623
Boca Raton,-1.6803186,Boca Raton,-1.6803186
Palm Beach Gardens,2.637814,Palm Beach Gardens,2.637814
Orlando,8.558478,Orlando,8.558478
Miramar,0.2560848,Miramar,0.2560848
Deltona,2.218973,Deltona,2.218973
Tallahassee,2.1867952,Tallahassee,2.1867952
Deerfield Beach,-0.58025074,Deerfield Beach,-0.58025074
Apopka,2.4907663,Apopka,2.4907663
Boynton Beach,-0.3694949,Boynton Beach,-0.3694949
Town 'n' Country,11.434422,Town 'n' Country,11.434422
The Villages,2.0410485,The Villages,2.0410485
The Hammocks,-3.4952188,The Hammocks,-3.4952188
North Miami,-3.2320547,North Miami,-3.2320547
Horizon West,,Horizon West,nan
Pembroke Pines,-1.5065793,Pembroke Pines,-1.5065793
Poinciana,-4.427358,Poinciana,-4.427358
Alafaya,3.5986242,Alafaya,3.5986242
Kendale Lakes,-4.198665,Kendale Lakes,-4.198665
Winter Haven,13.448862,Winter Haven,13.448862
Jupiter,-6.9236555,Jupiter,-6.9236555
Wesley Chapel,27.728218,Wesley Chapel,27.728218
Pompano Beach,-0.6158185,Pompano Beach,-0.6158185
Melbourne,0.48773,Melbourne,0.48773
Four Corners,,Four Corners,nan
Palm Harbor,-1.7884021,Palm Harbor,-1.7884021
Cape Coral,2.5686457,Cape Coral,2.5686457
Daytona Beach,8.3305435,Daytona Beach,8.3305435
Jacksonville,5.776919,Jacksonville,5.776919
Lauderhill,2.2749104,Lauderhill,2.2749104
Clearwater,-0.5328582,Clearwater,-0.5328582
Fort Myers,6.7700677,Fort Myers,6.7700677
Port Charlotte,2.07663,Port Charlotte,2.07663
Brandon,2.0658488,Brandon,2.0658488
Port St. Lucie,11.115935,Port St. Lucie,11.115935
Spring Hill,8.753346,Spring Hill,8.753346
Palm Coast,5.139035,Palm Coast,5.139035
Hialeah,-5.728249,Hialeah,-5.728249
Riverview,6.6706395,Riverview,6.6706395
Delray Beach,-3.391085,Delray Beach,-3.391085
