city,dom_low,prompt,completion
Doral,57,Doral,57
Homestead,50,Homestead,50
Bradenton,34,Bradenton,34
Port Orange,48,Port Orange,48
Kissimmee,36,Kissimmee,36
Pensacola,53,Pensacola,53
Palm Bay,60,Palm Bay,60
Wellington,62,Wellington,62
Miami Gardens,50,Miami Gardens,50
Country Club,43,Country Club,43
Fountainebleau,45,Fountainebleau,45
Ocala,27,Ocala,27
Lehigh Acres,33,Lehigh Acres,33
North Port,33,North Port,33
Coconut Creek,51,Coconut Creek,51
Fort Lauderdale,57,Fort Lauderdale,57
Miami,63,Miami,63
Pine Hills,33,Pine Hills,33
Miami Beach,70,Miami Beach,70
Bonita Springs,38,Bonita Springs,38
Davie,52,Davie,52
Kendall,50,Kendall,50
Gainesville,30,Gainesville,30
Coral Springs,56,Coral Springs,56
Tamiami,51,Tamiami,51
Weston,60,Weston,60
Pinellas Park,32,Pinellas Park,32
West Palm Beach,56,West Palm Beach,56
Margate,50,Margate,50
St. Cloud,33,St. Cloud,33
Sunrise,51,Sunrise,51
Sarasota,36,Sarasota,36
Tamarac,53,Tamarac,53
St. Petersburg,34,St. Petersburg,34
Tampa,40,Tampa,40
Sanford,28,Sanford,28
Largo,28,Largo,28
Hollywood,57,Hollywood,57
Westchester,55,Westchester,55
Lakeland,31,Lakeland,31
Boca Raton,59,Boca Raton,59
Palm Beach Gardens,55,Palm Beach Gardens,55
Orlando,39,Orlando,39
Miramar,53,Miramar,53
Deltona,34,Deltona,34
Tallahassee,53,Tallahassee,53
Deerfield Beach,49,Deerfield Beach,49
Apopka,34,Apopka,34
Boynton Beach,55,Boynton Beach,55
Town 'n' Country,31,Town 'n' Country,31
The Villages,30,The Villages,30
The Hammocks,47,The Hammocks,47
North Miami,56,North Miami,56
Horizon West,33,Horizon West,33
Pembroke Pines,52,Pembroke Pines,52
Poinciana,35,Poinciana,35
Alafaya,35,Alafaya,35
Kendale Lakes,45,Kendale Lakes,45
Winter Haven,32,Winter Haven,32
Jupiter,55,Jupiter,55
Wesley Chapel,32,Wesley Chapel,32
Pompano Beach,53,Pompano Beach,53
Melbourne,56,Melbourne,56
Four Corners,38,Four Corners,38
Palm Harbor,30,Palm Harbor,30
Cape Coral,40,Cape Coral,40
Daytona Beach,47,Daytona Beach,47
Jacksonville,50,Jacksonville,50
Lauderhill,51,Lauderhill,51
Clearwater,32,Clearwater,32
Fort Myers,34,Fort Myers,34
Port Charlotte,36,Port Charlotte,36
Brandon,31,Brandon,31
Port St. Lucie,55,Port St. Lucie,55
Spring Hill,34,Spring Hill,34
Palm Coast,47,Palm Coast,47
Hialeah,49,Hialeah,49
Riverview,36,Riverview,36
Delray Beach,54,Delray Beach,54
